,Country Name,Number of Companies,Investment Amount,Conference,Journal,Patent,Repository,Number of Companies Normalized,Investment Amount Normalized,Conference Normalized,Journal Normalized,Patent Normalized,Repository Normalized,Index Equal Metric Weights,Index Equal Pillar Weights,Index Andre Prefers,Rank Equal Metric Weights,Rank Equal Pillar Weights,Rank Andre Prefers,Rank Difference Max
52,Luxembourg,0.0,6351200.0,19.0000000596046,13.9023810476064,0.5,9.14285717904567,0.0,0.026915215834712587,0.2838839646724602,0.10028483973095165,0.018133462280765213,0.1503544347162195,0.5795719172351091,0.6064871330698218,0.660317564739247,73.0,75.0,64.0,11.0
69,Serbia,0.0,0.0,11.5333334058523,43.450000166893,0.0,5.58333334326744,0.0,0.0,0.17232254751955067,0.3134266200966276,0.0,0.09181800745867284,0.5775671750748511,0.5775671750748511,0.5775671750748511,74.0,76.0,67.0,9.0
100,British Virgin Islands,1.0,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,1.0869565217391304,0.0,75.0,66.0,155.0,89.0
62,Cyprus,0.0,25114702.0,10.3166667073965,20.2952381595969,0.0,7.16666670143604,0.0,0.10643148144515806,0.15414401252170537,0.14639972096629386,0.0,0.11785595023441488,0.5248311651675721,0.6312626466127302,0.8441256095030463,76.0,73.0,58.0,18.0
123,Algeria,0.0,0.0,14.9166667163372,30.1666667833924,0.0,2.0,0.0,0.0,0.222873814413012,0.21760728131605878,0.0,0.03289003246399032,0.4733711281930611,0.4733711281930611,0.4733711281930611,77.0,78.0,70.0,8.0
70,Lebanon,0.0,6000000.0,13.1666667163372,25.3166667968034,0.0,3.66666668653488,0.0,0.025426894918798893,0.19672660722257454,0.18262180151337873,0.0,0.060298393177382004,0.4650736968321342,0.490500591750933,0.5413543815885309,78.0,77.0,68.0,10.0
83,Kazakhstan,0.0,0.0,16.9166667163372,12.083333402872,0.0,1.0,0.0,0.0,0.25275633691636906,0.08716313770807675,0.0,0.01644501623199516,0.356364490856441,0.356364490856441,0.356364490856441,79.0,79.0,73.0,6.0
91,Puerto Rico,0.0,0.0,11.0833333432674,14.4345238953828,0.0,2.66666668653488,0.0,0.0,0.165598979021198,0.10412345270095195,0.0,0.043853376945386845,0.31357580866753676,0.31357580866753676,0.31357580866753676,80.0,80.0,74.0,6.0
66,Ghana,0.0,0.0,4.33333337306976,30.1666667759418,0.0,1.03333334624767,0.0,0.0,0.06474546601765267,0.21760728126231382,0.0,0.016993183652104806,0.2993459309320713,0.2993459309320713,0.2993459309320713,81.0,81.0,75.0,6.0
135,Cambodia,0.0,0.0,7.08333337306976,20.2333334088325,0.0,2.0,0.0,0.0,0.10583393445976867,0.14595317098411933,0.0,0.03289003246399032,0.2846771379078783,0.2846771379078783,0.2846771379078783,82.0,82.0,77.0,5.0
